Time resolution is 1 ps
src0=0000009c, src1=ffffffb7, sel=00, res=00000053
src0=0000009c, src1=ffffffb7, sel=01, res=00000000
src0=0000009c, src1=ffffffb7, sel=02, res=000000e5
src0=0000009c, src1=ffffffb7, sel=03, res=00000000
src0=0000009c, src1=ffffffb7, sel=04, res=00000000
src0=0000009c, src1=ffffffb7, sel=05, res=00000001
src0=0000009c, src1=ffffffb7, sel=06, res=00000000
src0=0000009c, src1=ffffffb7, sel=07, res=00000000
src0=0000009c, src1=ffffffb7, sel=08, res=00000000
src0=0000009c, src1=ffffffb7, sel=09, res=00000094
src0=0000009c, src1=ffffffb7, sel=0a, res=ffffffbf
src0=0000009c, src1=ffffffb7, sel=0b, res=ffffff2b
src0=0000009c, src1=ffffffb7, sel=0c, res=00000000
src0=0000009c, src1=ffffffb7, sel=0d, res=00000000
src0=0000009c, src1=ffffffb7, sel=0e, res=00000000
src0=0000009c, src1=ffffffb7, sel=0f, res=00000000
src0=0000009c, src1=ffffffb7, sel=10, res=00000000
src0=0000009c, src1=ffffffb7, sel=11, res=0000009c
src0=0000009c, src1=ffffffb7, sel=12, res=ffffffb7
